url,versions,trafficRank,ipCountry,ipRegion,language,email,phone,skype,whatsapp,twitter,facebook,instagram,github,tiktok,youtube,pinterest,linkedin,owler,title,description,copyright,copyrightYear,responsive,certInfo.issuer,certInfo.protocol,certInfo.validTo,https,trackerGoogleAnalytics,trackerGoogleAdSense,trackerMedianet,trackerFacebook,trackerOptimizely,companyName,inferredCompanyName,industry,about,locations,companySize,companyType,companyFounded,employees
https://www.keychron.com,,37103,CA,,en ; ja ; undefined ; zh-CN,,,,,,,,,,,,company/keychron,,,,,,,R3,TLS 1.3,1621384923,TRUE,,,,,,Keychron,,Computer Hardware,"Keychron was formed in 2017 by a group of keyboard enthusiast who has extensive experience in keyboard manufacturing. The group consists of designers, marketers, and production experts. Our core team members, Will Ye has 9 years of experience in keyboard production and related businesses and Sven Zhu has 10 years of experience in industrial design. We’ve dedicate ourselves to creating the most sophisticated mechanical keyboard with a minimalist design. And registered as Middle Bridge Ltd in 1010 Cambourne Business Park, Great Cambourne, Cambridge, CB22 6DP, United Kingdom. Hong Kong company address: 13/F, Prosper Commercial Bldg., 9 Yin Chong Street, Kowloon, Hong Kong We’ve partnered a factory with 20 years of experience, which produces top-notch keyboards for many well-known keyboard brands over the years. We can assure you that the Keychron keyboard will never fail you.","Great Cambourne, Cambridge ; Great Cambourne, Cambridge CB22 6DP, GB",51-200 employees,Privately Held,,谭淞元 -- Operation Parterner at Keychron ; Alice Liu -- Key Account Manager @Keychron ; Nontavat Kinana -- Operational Specialist at Keychron
https://kbdfans.com,,31801,CA,,en,,988924043,,,KBDfans,Keyboardfans,KBDfans,,,,,,,KBDfans – KBDfans® Mechanical Keyboards Store,"Build your own mechanical keyboard, starting here!",© 2021 KBDfans® Mechanical Keyboards Store,2021,TRUE,R3,TLS 1.3,1625168405,TRUE,UA-103883647,,,,,,KBDFANS,,,,,,,
https://kith.com,,24445,CA,,en ; ja ; es ; fr,customerservice@kith.com,,,,kith ; kith_cs,Kithnyc,kith,,,,,,,Kith,"Sneakers, apparel, shoes, boots, Ronnie Fieg, ASICS, Nike, Mercer Pant, Bleecker, Gel Lyte, adidas, Just Us, Filling Pieces, New Balance, Jordan, Kithstrike",© 2021 KITH NYC,2021,TRUE,R3,TLS 1.3,1616141195,TRUE,UA-62344036,,,,,,KITH,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.staples.ca,,14862,CA,,en ; en-CA ; fr,,,,,StaplesCanada,StaplesCanada,staplescanada,,,,,company/staples-canada ; company/3020,,"Staples.ca: Free Next-Day Shipping, On All Orders","Shop Staples Canada for business essentials, back to school, electronics, office supplies, and more. Fast Free Delivery, Curbside Pickup, and Easy Returns.",,,TRUE,R3,TLS 1.3,1626690134,TRUE,,,,,,Staples Canada,STAPLES CANADA,Retail,"We are the Working and Learning Company. We are building a community of exploration and discovery, a place where we can all work, learn and grow together. We are here to be a trusted ally, a resource and a sounding board, motivated to support our customers with expert knowledge, unique products and innovative services, made for the changing needs of today’s entrepreneurs, teachers, parents and students. Founded in 1991, Staples Canada, The Working and Learning Company, is a privately-held company based in Richmond Hill, Ontario, with a network of over 300 stores across Canada. To learn more, visit www.staples.ca or follow @StaplesCanada on Facebook, Twitter and Instagram.","Richmond Hill, Ontario ; 6 Staples Avenue, Richmond Hill, Ontario L4B 4W3, CA",2-10 employees,Privately Held,1991,"Lance Martel -- SVP at STAPLES Canada ; Gabriela Mirkai -- - ; Gaurav Baijal MBA, PMP®CSM®CSPO® -- Project Manager | Product Management | eCommerce | Valued Business Partner | ; Carolyn Nini -- Leader | Coach | Strategic HR Business Partner"
https://mct.tokyo,,14796,CA,,en ; ja ; zh-CN,mct.tokyo@medicomtoy.co.jp,,,,medicom_toy,medicomtoy.page,medicom_toy,,,,,,,MCT TOKYO,株式会社メディコム・トイ。フィギュアなどの企画・販売。会社概要、製品紹介。,© 2020 MEDICOM TOY CORPORATION. All rights reserved.,2020,TRUE,Let's Encrypt Authority X3,TLS 1.3,1608802283,TRUE,,,,,,,MEDICOM TOY.CO.JP,,,,,,,
https://calif.cc,,11263,CC,,ja ; en,,,,,calif_official,calif.onlinestore,,,,,,,,,,,,TRUE,R3,TLS 1.3,1625369159,TRUE,UA-67264754,,,,,,CALIF,,,,,,,
https://www.exportleftovers.com,,11033,CA,,en,,,,,ExportLeftovers,exportleftovers,exportleftovers,,,,,,,,,© 2021 elo.,2021,TRUE,R3,TLS 1.3,1621035967,TRUE,UA-46534900,,,,,,ELO,,,,,,,
https://www.pcgamingrace.com,,10644,CA,,en ; fr ; lb,,,,,GloriousPCGR,pcgamingrace,gloriouspcgamingrace,,,,,company/glorious-gaming,,Glorious PC Gaming Race - PC Gamer and Enthusiast Store,"We provide high quality PC gaming gear and accessories at an affordable cost. May your framerate be mighty, and your draw distance far!",Copyright © 2020 Glorious LLC,2020,TRUE,Let's Encrypt Authority X3,TLS 1.3,1609942409,TRUE,UA-53591861,,,,,Glorious,PCGAMINGRACE,Consumer Electronics,"WHO IS GLORIOUS? Glorious is a lifestyle gaming hardware company, built by passionate enthusiasts on a mission to change the status quo of an industry that we think is in dire need of a shake-up. We want to help enthusiast & professional gamers ascend their ‘battlestation’ with the best quality gear possible and reasonable prices. PERFECT PRODUCTS FOR A PERFECT BATTLESTATION We believe that buying gaming gear shouldn’t be complicated. With a focus on form, function, and aesthetics, we painstakingly perfect each product we sell so our customers can be confident that every purchase is the right one. By embracing a philosophy of continuous improvement, we can keep all of our products at the forefront of technology without needing to offer a dizzying number of options. A LIFESTYLE GAMING COMPANY For some gaming is a hobby, for others, it’s a way of life. To date, we've taken no outside investment and spend little on advertising. We've grown through the support of a rapidly growing community of enthusiasts & professionals who demand perfection and appreciate receiving the respect we give to them. But whether a casual hobbyist or e-sports pro, we want to provide every gamer the chance to play at the highest possible level. With millions around the world now part of the Glorious legion, we're well on our way to achieving our goal. Glorious is based in Dallas, Texas, USA.","Dallas, TX ; Dallas, TX, US",11-50 employees,Privately Held,2014,Hafiz Noor-ul-Qamar -- CEO at Noor Educational Skills ; Rachel Meyer -- Loyalty Program Coordinator at Glorious ; Sami Rafi -- VP of Finance and Accounting at Glorious ; David Polinow -- VP of Marketing & Digital Strategy at Glorious PC Gaming
https://www.allbirds.com,,9466,CA,,en-US ; ja,,,,,,,,,,,,company/10343298 ; company/allbirds,,,,,,,R3,TLS 1.3,1622056002,TRUE,,,,,,Allbirds,,Apparel & Fashion,"At Allbirds, we believe in using business as a force for good. We’re a global footwear and apparel brand with roots in New Zealand and our headquarters in San Francisco. Since 2016, we’ve been on a mission to prove that comfort, design, and sustainability aren’t mutually exclusive. Our commitment to creating better things in a better way is fueled by a belief that the fashion industry needs to focus less on flash and more on thoughtfulness. And as a certified B Corp, we’re dedicated to making the most sustainable products we can using premium natural materials - designed for life’s everyday adventures.","San Francisco, California ; San Francisco, California, US ; London, GB ; Shanghai, CN",201-500 employees,Privately Held,2016,Jim Kingsbury -- - ; Pradeep Kumar -- - ; Robert Osburn -- Staff Engineer at Allbirds ; Joseph Zwillinger -- -
